ID,Order ID,Order Date,Ship Date,Shipping Method,Customer ID,Product ID,Quantity,Sales,Profit,Shipping Cost
12198,2014-40982,3/14/2014 0:00,3/18/2014 0:00,Standard,ER-102401,SP-S-4009,3,71.97,35.985,4.8788
12199,2014-40982,3/14/2014 0:00,3/18/2014 0:00,Standard,ER-102401,SP-T-3059,1,24.99,4.998,2.9996
12200,2014-40982,3/14/2014 0:00,3/18/2014 0:00,Standard,ER-102401,SP-K-2869,4,95.96,38.384,5.8384
12201,2014-40982,3/14/2014 0:00,3/18/2014 0:00,Standard,ER-102401,FW-Y-3917,3,134.97,80.982,7.3988
12202,2014-40982,3/14/2014 0:00,3/18/2014 0:00,Standard,ER-102401,SP-K-2848,3,71.97,28.788,4.8788
12241,2014-40988,3/20/2014 0:00,3/24/2014 0:00,Standard,SB-120251,SP-B-3479,2,55.98,13.995,4.2392
12242,2014-40988,3/20/2014 0:00,3/24/2014 0:00,Standard,SB-120251,SP-B-3486,3,83.97,20.9925,5.3588
12254,2014-40989,3/21/2014 0:00,3/25/2014 0:00,Standard,SC-126851,SP-K-2923,5,124.95,49.98,6.998
12255,2014-40989,3/21/2014 0:00,3/25/2014 0:00,Standard,SC-126851,SP-K-2869,4,95.96,38.384,5.8384
12263,2014-40992,3/24/2014 0:00,3/29/2014 0:00,Standard,WA-122651,SP-B-2875,6,155.94,38.985,8.2376
12264,2014-40992,3/24/2014 0:00,3/29/2014 0:00,Standard,WA-122651,AP-M-4879,4,143.96,57.584,7.7584
12265,2014-40992,3/24/2014 0:00,3/29/2014 0:00,Standard,WA-122651,SP-B-5299,2,125.98,31.495,7.0392
12266,2014-40992,3/24/2014 0:00,3/29/2014 0:00,Standard,WA-122651,SP-B-4010,2,41.98,10.495,3.6792
12267,2014-40993,3/25/2014 0:00,3/29/2014 0:00,2 Day,WS-125051,SP-F-3052,5,139.95,41.985,11.7965
12272,2014-40995,3/27/2014 0:00,4/1/2014 0:00,Standard,WV-122951,FW-R-3335,4,307.96,123.184,14.3184
12273,2014-40995,3/27/2014 0:00,4/1/2014 0:00,Standard,WV-122951,SP-K-2908,3,74.97,29.988,4.9988
12274,2014-40995,3/27/2014 0:00,3/31/2014 0:00,Standard,WR-129401,AP-W-3170,3,104.97,31.491,6.1988
12279,2014-40997,3/29/2014 0:00,4/3/2014 0:00,Standard,WA-147251,FW-H-3638,2,85.98,25.794,5.4392
12286,2014-40998,3/30/2014 0:00,4/4/2014 0:00,Standard,CA-103151,SP-K-2906,2,49.98,19.992,3.9992
12287,2014-40998,3/30/2014 0:00,4/4/2014 0:00,Standard,CA-103151,SP-B-3975,2,41.98,10.495,3.6792
12329,2014-41004,4/5/2014 0:00,4/11/2014 0:00,Standard,WY-105551,FW-Y-2862,7,251.93,151.158,12.0772
12330,2014-41004,4/5/2014 0:00,4/11/2014 0:00,Standard,WY-105551,FW-Y-5170,2,17.98,10.788,2.7192
12331,2014-41004,4/5/2014 0:00,4/11/2014 0:00,Standard,WY-105551,SP-S-4460,1,25.99,12.995,3.0396
12332,2014-41004,4/5/2014 0:00,4/11/2014 0:00,Standard,WY-105551,SP-S-6604,3,50.97,25.485,4.0388
12388,2014-41018,4/19/2014 0:00,4/24/2014 0:00,Standard,SP-112301,FW-Y-4236,4,131.96,79.176,7.2784
12392,2014-41019,4/20/2014 0:00,4/24/2014 0:00,Standard,WA-103751,SP-K-2849,5,119.95,47.98,6.798
12402,2014-41023,4/24/2014 0:00,4/29/2014 0:00,Standard,CT-113051,FW-S-4415,5,59.95,29.975,4.398
12403,2014-41023,4/24/2014 0:00,4/29/2014 0:00,Standard,CT-113051,SP-B-4729,3,53.97,13.4925,4.1588
12404,2014-41023,4/24/2014 0:00,4/29/2014 0:00,Standard,CT-113051,FW-Y-5170,5,44.95,26.97,3.798
12405,2014-41023,4/24/2014 0:00,4/28/2014 0:00,Standard,EA-134501,SP-B-2857,3,77.97,19.4925,5.1188
12406,2014-41023,4/24/2014 0:00,4/28/2014 0:00,Standard,EA-134501,SP-S-6604,2,33.98,16.99,3.3592
12413,2014-41026,4/27/2014 0:00,5/2/2014 0:00,Standard,CS-131801,AP-M-3407,2,23.98,9.592,2.9592
12430,2014-41030,5/1/2014 0:00,5/1/2014 0:00,Next Day,ER-105101,SP-B-2863,3,77.97,19.4925,9.0173
12431,2014-41030,5/1/2014 0:00,5/3/2014 0:00,2 Day,SS-118601,AP-M-5094,2,51.98,20.792,5.6386
12435,2014-41032,5/3/2014 0:00,5/3/2014 0:00,Next Day,CA-104801,FW-Y-3917,2,89.98,53.988,10.0982
12436,2014-41032,5/3/2014 0:00,5/6/2014 0:00,First Class,CS-113651,FW-Y-3915,7,314.93,188.958,17.7465
12437,2014-41032,5/3/2014 0:00,5/6/2014 0:00,First Class,CS-113651,SP-B-4011,4,83.96,20.99,6.198
12451,2014-41035,5/6/2014 0:00,5/11/2014 0:00,Standard,CT-119951,FW-S-5090,4,63.96,31.98,4.5584
12452,2014-41035,5/6/2014 0:00,5/11/2014 0:00,Standard,CT-119951,FW-R-3333,2,153.98,61.592,8.1592
12453,2014-41035,5/6/2014 0:00,5/11/2014 0:00,Standard,CT-119951,SP-K-2880,3,71.97,28.788,4.8788
12454,2014-41035,5/6/2014 0:00,5/11/2014 0:00,Standard,CT-119951,SP-B-5299,3,188.97,47.2425,9.5588
12487,2014-41044,5/15/2014 0:00,5/19/2014 0:00,Standard,EC-124751,AP-M-4876,3,107.97,43.188,6.3188
12488,2014-41044,5/15/2014 0:00,5/22/2014 0:00,Standard,SW-190301,FW-S-4840,5,79.95,39.975,5.198
12490,2014-41046,5/17/2014 0:00,5/23/2014 0:00,Standard,WS-117551,AP-W-3136,2,29.98,8.994,3.1992
12491,2014-41046,5/17/2014 0:00,5/21/2014 0:00,2 Day,WA-145151,SP-S-4009,1,23.99,11.995,3.6793
12503,2014-41049,5/20/2014 0:00,5/24/2014 0:00,Standard,ET-115301,SP-B-2874,8,207.92,51.98,10.3168
12511,2014-41049,5/20/2014 0:00,5/24/2014 0:00,Standard,WW-182351,SP-K-2849,7,167.93,67.172,8.7172
12512,2014-41049,5/20/2014 0:00,5/24/2014 0:00,Standard,WW-182351,AP-W-3136,3,44.97,13.491,3.7988
12515,2014-41051,5/22/2014 0:00,5/26/2014 0:00,Standard,ER-105101,AP-W-3509,2,69.98,20.994,4.7992
12516,2014-41051,5/22/2014 0:00,5/26/2014 0:00,Standard,ER-105101,SP-B-5294,9,26.91,6.7275,3.0764
12517,2014-41051,5/22/2014 0:00,5/26/2014 0:00,Standard,ER-105101,SP-K-2904,2,47.98,19.192,3.9192
12523,2014-41053,5/24/2014 0:00,5/28/2014 0:00,Standard,SW-110651,SP-S-4390,2,51.98,25.99,4.0792
12544,2014-41058,5/29/2014 0:00,5/31/2014 0:00,First Class,WW-168251,AP-W-3182,5,174.95,52.485,10.7475
12545,2014-41058,5/29/2014 0:00,5/31/2014 0:00,First Class,WW-168251,SP-B-3973,3,62.97,15.7425,5.1485
12546,2014-41058,5/29/2014 0:00,5/31/2014 0:00,First Class,WW-168251,SP-S-3843,4,95.96,47.98,6.798
12547,2014-41058,5/29/2014 0:00,5/31/2014 0:00,First Class,WW-168251,SP-K-2905,2,49.98,19.992,4.499
12552,2014-41060,5/31/2014 0:00,6/5/2014 0:00,Standard,CR-126251,SP-B-3503,6,167.94,41.985,8.7176
12553,2014-41060,5/31/2014 0:00,6/5/2014 0:00,Standard,CR-126251,SP-K-2905,3,74.97,29.988,4.9988
12554,2014-41060,5/31/2014 0:00,6/5/2014 0:00,2 Day,WW-134801,SP-B-4010,5,104.95,26.2375,9.3465
12555,2014-41060,5/31/2014 0:00,6/5/2014 0:00,2 Day,WW-134801,FW-S-3977,7,300.93,150.465,23.0651
12556,2014-41060,5/31/2014 0:00,6/5/2014 0:00,2 Day,WW-134801,SP-T-4891,2,71.98,14.396,7.0386
12557,2014-41060,5/31/2014 0:00,6/5/2014 0:00,2 Day,WW-134801,SP-F-6129,6,119.94,35.982,10.3958
12558,2014-41060,5/31/2014 0:00,6/5/2014 0:00,2 Day,WW-134801,SP-S-6604,4,67.96,33.98,6.7572
12573,2014-41063,6/3/2014 0:00,6/8/2014 0:00,Standard,ET-114401,FW-H-3649,2,85.98,25.794,5.4392
12574,2014-41063,6/3/2014 0:00,6/8/2014 0:00,Standard,ET-114401,FW-Y-5174,2,17.98,10.788,2.7192
12575,2014-41063,6/3/2014 0:00,6/8/2014 0:00,Standard,ET-114401,SP-B-3479,4,111.96,27.99,6.4784
12576,2014-41063,6/3/2014 0:00,6/8/2014 0:00,Standard,ET-114401,FW-Y-4236,2,65.98,39.588,4.6392
12587,2014-41066,6/6/2014 0:00,6/9/2014 0:00,2 Day,EP-110951,SP-K-6098,3,47.97,19.188,5.3579
12588,2014-41066,6/6/2014 0:00,6/10/2014 0:00,2 Day,ER-185501,FW-R-3428,3,224.97,89.988,17.7479
12589,2014-41067,6/7/2014 0:00,6/13/2014 0:00,Standard,WS-119501,FW-S-4651,3,53.97,26.985,4.1588
12600,2014-41068,6/8/2014 0:00,6/12/2014 0:00,2 Day,WW-119051,AP-M-4140,2,23.98,9.592,3.6786
12601,2014-41068,6/8/2014 0:00,6/12/2014 0:00,2 Day,WW-119051,SP-B-3479,2,55.98,13.995,5.9186
12602,2014-41068,6/8/2014 0:00,6/12/2014 0:00,2 Day,WW-119051,AP-W-3795,1,24.99,7.497,3.7493
12611,2014-41073,6/13/2014 0:00,6/19/2014 0:00,Standard,CR-204251,FW-H-3638,3,128.97,38.691,7.1588
12626,2014-41079,6/19/2014 0:00,6/26/2014 0:00,Standard,EO-126401,SP-B-3974,6,125.94,31.485,7.0376
12627,2014-41079,6/19/2014 0:00,6/26/2014 0:00,Standard,EO-126401,SP-B-5298,2,65.98,16.495,4.6392
12635,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WB-130601,AP-W-3814,7,174.93,52.479,8.9972
12636,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WB-130601,SP-B-5296,2,33.98,8.495,3.3592
12641,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WW-184001,AP-Y-4200,3,35.97,17.985,3.4388
12642,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WW-184001,AP-M-5094,4,103.96,41.584,6.1584
12643,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WW-184001,SP-F-3192,4,123.96,37.188,6.9584
12644,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WW-184001,SP-K-2909,2,49.98,19.992,3.9992
12645,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WW-184001,FW-Y-5171,1,8.99,5.394,2.3596
12646,2014-41080,6/20/2014 0:00,6/24/2014 0:00,Standard,WW-184001,SP-B-3974,2,41.98,10.495,3.6792
12653,2014-41081,6/21/2014 0:00,6/26/2014 0:00,Standard,EA-106451,FW-S-4650,5,89.95,44.975,5.598
12654,2014-41081,6/21/2014 0:00,6/26/2014 0:00,Standard,EA-106451,FW-S-4840,3,47.97,23.985,3.9188
12655,2014-41081,6/21/2014 0:00,6/26/2014 0:00,Standard,EA-106451,AP-W-2879,3,32.97,9.891,3.3188
12660,2014-41082,6/22/2014 0:00,6/27/2014 0:00,Standard,WS-116651,AP-M-4876,3,107.97,43.188,6.3188
12671,2014-41087,6/27/2014 0:00,7/1/2014 0:00,Standard,EA-127751,FW-S-4416,5,59.95,29.975,4.398
12672,2014-41087,6/27/2014 0:00,7/1/2014 0:00,Standard,EA-127751,SP-S-3159,4,95.96,47.98,5.8384
12673,2014-41087,6/27/2014 0:00,7/1/2014 0:00,Standard,EA-127751,SP-S-6604,8,135.92,67.96,7.4368
12674,2014-41087,6/27/2014 0:00,7/1/2014 0:00,Standard,EA-127751,SP-K-2850,3,71.97,28.788,4.8788
12675,2014-41087,6/27/2014 0:00,7/1/2014 0:00,Standard,EA-127751,SP-K-2904,3,71.97,28.788,4.8788
12676,2014-41087,6/27/2014 0:00,7/3/2014 0:00,Standard,CW-196301,SP-F-3197,1,30.99,9.297,3.2396
12679,2014-41089,6/29/2014 0:00,7/2/2014 0:00,2 Day,SR-108251,SP-B-3446,5,139.95,34.9875,11.7965
12681,2014-41089,6/29/2014 0:00,7/5/2014 0:00,Standard,SS-118601,SP-B-5299,3,188.97,47.2425,9.5588
12682,2014-41089,6/29/2014 0:00,7/5/2014 0:00,Standard,SS-118601,SP-K-2911,1,24.99,9.996,2.9996
12688,2014-41090,6/30/2014 0:00,7/4/2014 0:00,Standard,WW-168251,AP-W-3811,2,49.98,14.994,3.9992
12689,2014-41090,6/30/2014 0:00,7/4/2014 0:00,Standard,WW-168251,SP-K-2849,6,143.94,57.576,7.7576
12696,2014-41094,7/4/2014 0:00,7/4/2014 0:00,Next Day,SC-128501,SP-T-3745,3,74.97,14.994,8.7473
12697,2014-41094,7/4/2014 0:00,7/4/2014 0:00,Next Day,SC-128501,SP-T-2920,11,263.89,52.778,25.7501
12698,2014-41094,7/4/2014 0:00,7/11/2014 0:00,Standard,WW-131951,SP-B-5294,3,8.97,2.2425,2.3588
12706,2014-41095,7/5/2014 0:00,7/11/2014 0:00,Standard,WC-111251,FW-S-4397,2,81.98,40.99,5.2792
12715,2014-41098,7/8/2014 0:00,7/13/2014 0:00,Standard,WS-130301,FW-H-3638,1,42.99,12.897,3.7196
12716,2014-41098,7/8/2014 0:00,7/13/2014 0:00,Standard,WS-130301,SP-S-3839,5,119.95,59.975,6.798
12717,2014-41098,7/8/2014 0:00,7/13/2014 0:00,Standard,WS-130301,SP-B-5294,2,5.98,1.495,2.2392
12718,2014-41098,7/8/2014 0:00,7/13/2014 0:00,Standard,WS-130301,SP-K-2907,6,149.94,59.976,7.9976
12732,2014-41101,7/11/2014 0:00,7/16/2014 0:00,Standard,CC-104201,FW-R-3428,3,224.97,89.988,10.9988
12733,2014-41101,7/11/2014 0:00,7/16/2014 0:00,Standard,CC-104201,SP-K-6098,2,31.98,12.792,3.2792
12745,2014-41103,7/13/2014 0:00,7/19/2014 0:00,Standard,WW-109301,SP-K-2905,7,174.93,69.972,8.9972
12746,2014-41103,7/13/2014 0:00,7/19/2014 0:00,Standard,WW-109301,AP-W-3514,4,139.96,41.988,7.5984
12758,2014-41108,7/18/2014 0:00,7/23/2014 0:00,Standard,CA-123101,AP-W-3161,2,29.98,8.994,3.1992
12759,2014-41108,7/18/2014 0:00,7/23/2014 0:00,Standard,CA-123101,FW-R-3335,1,76.99,30.796,5.0796
12760,2014-41108,7/18/2014 0:00,7/23/2014 0:00,Standard,CA-123101,SP-K-2911,1,24.99,9.996,2.9996
12761,2014-41108,7/18/2014 0:00,7/23/2014 0:00,Standard,CA-123101,SP-K-2907,2,49.98,19.992,3.9992
12763,2014-41109,7/19/2014 0:00,7/21/2014 0:00,First Class,CC-121451,SP-S-4115,1,25.99,12.995,3.2995
12764,2014-41109,7/19/2014 0:00,7/21/2014 0:00,First Class,CC-121451,FW-Y-5164,3,26.97,16.182,3.3485
12765,2014-41109,7/19/2014 0:00,7/21/2014 0:00,First Class,CC-121451,SP-S-3328,4,95.96,47.98,6.798
12766,2014-41109,7/19/2014 0:00,7/21/2014 0:00,First Class,CC-121451,SP-K-6098,2,31.98,12.792,3.599
12776,2014-41109,7/19/2014 0:00,7/19/2014 0:00,Next Day,EW-202451,SP-T-3744,1,24.99,4.998,4.2491
12777,2014-41109,7/19/2014 0:00,7/19/2014 0:00,Next Day,EW-202451,SP-K-2849,3,71.97,28.788,8.4773
12786,2014-41111,7/21/2014 0:00,7/27/2014 0:00,Standard,SB-102551,SP-B-3503,6,167.94,41.985,8.7176
12823,2014-41116,7/26/2014 0:00,8/1/2014 0:00,Standard,SR-213251,SP-S-3843,11,263.89,131.945,12.5556
12824,2014-41116,7/26/2014 0:00,7/29/2014 0:00,2 Day,EB-109901,SP-T-4891,2,71.98,14.396,7.0386
12825,2014-41116,7/26/2014 0:00,7/28/2014 0:00,2 Day,EW-146051,AP-M-5094,2,51.98,20.792,5.6386
12830,2014-41121,7/31/2014 0:00,8/5/2014 0:00,Standard,CS-106301,SP-F-2903,2,55.98,16.794,4.2392
12842,2014-41123,8/2/2014 0:00,8/4/2014 0:00,First Class,WS-117551,FW-R-3556,2,149.98,59.992,9.499
12843,2014-41123,8/2/2014 0:00,8/4/2014 0:00,First Class,WS-117551,SP-B-3485,1,27.99,6.9975,3.3995
12854,2014-41125,8/4/2014 0:00,8/8/2014 0:00,Standard,WS-121301,FW-S-4412,7,97.93,48.965,5.9172
12855,2014-41125,8/4/2014 0:00,8/8/2014 0:00,Standard,WS-121301,SP-S-4323,2,51.98,25.99,4.0792
12856,2014-41125,8/4/2014 0:00,8/8/2014 0:00,Standard,WS-121301,SP-F-6129,3,59.97,17.991,4.3988
12868,2014-41128,8/7/2014 0:00,8/14/2014 0:00,Standard,WR-169151,AP-M-4876,3,107.97,43.188,6.3188
12869,2014-41128,8/7/2014 0:00,8/14/2014 0:00,Standard,WR-169151,AP-W-3160,5,74.95,22.485,4.998
12870,2014-41128,8/7/2014 0:00,8/14/2014 0:00,Standard,WR-169151,FW-Y-2871,8,287.92,172.752,13.5168
12871,2014-41128,8/7/2014 0:00,8/14/2014 0:00,Standard,WR-169151,SP-B-4010,2,41.98,10.495,3.6792
12894,2014-41132,8/11/2014 0:00,8/15/2014 0:00,Standard,WW-112001,AP-W-3509,8,279.92,83.976,13.1968
12895,2014-41132,8/11/2014 0:00,8/15/2014 0:00,Standard,WW-112001,FW-Y-5416,3,26.97,16.182,3.0788
12896,2014-41132,8/11/2014 0:00,8/15/2014 0:00,Standard,CS-121751,SP-K-2852,7,167.93,67.172,8.7172
12910,2014-41135,8/14/2014 0:00,8/16/2014 0:00,First Class,SS-123551,SP-B-4011,5,104.95,26.2375,7.2475
12911,2014-41135,8/14/2014 0:00,8/16/2014 0:00,First Class,SS-123551,SP-S-3842,5,119.95,59.975,7.9975
12912,2014-41135,8/14/2014 0:00,8/17/2014 0:00,First Class,SS-123551,SP-K-2848,3,71.97,28.788,5.5985
12920,2014-41139,8/18/2014 0:00,8/22/2014 0:00,Standard,CS-113651,SP-T-6088,3,149.97,29.994,7.9988
12921,2014-41139,8/18/2014 0:00,8/20/2014 0:00,2 Day,WW-131951,FW-Y-3914,7,314.93,188.958,24.0451
12922,2014-41139,8/18/2014 0:00,8/20/2014 0:00,2 Day,WW-131951,SP-K-2923,2,49.98,19.992,5.4986
12927,2014-41140,8/19/2014 0:00,8/24/2014 0:00,2 Day,CR-127301,FW-S-4415,2,23.98,11.99,3.6786
12934,2014-41143,8/22/2014 0:00,8/26/2014 0:00,Standard,WP-109151,SP-S-6604,9,152.91,76.455,8.1164
12935,2014-41143,8/22/2014 0:00,8/26/2014 0:00,Standard,WP-109151,AP-W-3814,9,224.91,67.473,10.9964
12936,2014-41143,8/22/2014 0:00,8/26/2014 0:00,Standard,WP-109151,SP-S-4009,6,143.94,71.97,7.7576
12937,2014-41143,8/22/2014 0:00,8/26/2014 0:00,Standard,WP-109151,SP-S-4324,3,77.97,38.985,5.1188
12938,2014-41143,8/22/2014 0:00,8/26/2014 0:00,Standard,WP-109151,SP-F-6129,1,19.99,5.997,2.7996
12939,2014-41143,8/22/2014 0:00,8/26/2014 0:00,Standard,WP-109151,FW-Y-5165,3,26.97,16.182,3.0788
12940,2014-41143,8/22/2014 0:00,8/27/2014 0:00,2 Day,CR-126251,SP-S-6604,3,50.97,25.485,5.5679
12944,2014-41144,8/23/2014 0:00,8/25/2014 0:00,2 Day,EW-135851,SP-F-6129,3,59.97,17.991,6.1979
12948,2014-41145,8/24/2014 0:00,8/29/2014 0:00,Standard,SS-115901,SP-K-2923,8,199.92,79.968,9.9968
12949,2014-41145,8/24/2014 0:00,8/29/2014 0:00,Standard,SS-115901,SP-K-6098,4,63.96,25.584,4.5584
12950,2014-41145,8/24/2014 0:00,8/29/2014 0:00,Standard,SS-115901,SP-K-2911,3,74.97,29.988,4.9988
12957,2014-41145,8/24/2014 0:00,8/29/2014 0:00,Standard,WW-182201,AP-W-3161,7,104.93,31.479,6.1972
12968,2014-41147,8/26/2014 0:00,8/28/2014 0:00,First Class,WC-126101,FW-R-3561,3,224.97,89.988,13.2485
12969,2014-41147,8/26/2014 0:00,8/28/2014 0:00,First Class,WC-126101,AP-W-3169,5,174.95,52.485,10.7475
12970,2014-41147,8/26/2014 0:00,8/28/2014 0:00,First Class,WC-126101,FW-Y-5174,4,35.96,21.576,3.798
12980,2014-41150,8/29/2014 0:00,9/3/2014 0:00,Standard,CT-107351,SP-T-2921,3,71.97,14.394,4.8788
12981,2014-41150,8/29/2014 0:00,9/3/2014 0:00,Standard,CT-107351,SP-K-6098,5,79.95,31.98,5.198
12990,2014-41153,9/1/2014 0:00,9/6/2014 0:00,2 Day,WV-122951,AP-M-4876,3,107.97,43.188,9.5579
12998,2014-41154,9/2/2014 0:00,9/3/2014 0:00,First Class,CR-175451,SP-K-2904,5,119.95,47.98,7.9975
13000,2014-41156,9/4/2014 0:00,9/6/2014 0:00,First Class,WR-188801,FW-Y-5174,2,17.98,10.788,2.899
13004,2014-41158,9/6/2014 0:00,9/11/2014 0:00,2 Day,CR-170351,SP-K-2911,5,124.95,49.98,10.7465
13005,2014-41158,9/6/2014 0:00,9/11/2014 0:00,2 Day,CR-170351,SP-F-6129,4,79.96,23.988,7.5972
13006,2014-41158,9/6/2014 0:00,9/11/2014 0:00,2 Day,CR-170351,SP-S-3328,2,47.98,23.99,5.3586
13055,2014-41160,9/8/2014 0:00,9/13/2014 0:00,2 Day,EC-122201,SP-F-6129,3,59.97,17.991,6.1979
13064,2014-41160,9/8/2014 0:00,9/11/2014 0:00,2 Day,CR-195251,FW-S-4413,6,83.94,41.97,7.8758
13065,2014-41160,9/8/2014 0:00,9/11/2014 0:00,2 Day,CR-195251,SP-T-5980,5,34.95,6.99,4.4465
13066,2014-41160,9/8/2014 0:00,9/11/2014 0:00,2 Day,CR-195251,SP-S-4324,3,77.97,38.985,7.4579
13067,2014-41160,9/8/2014 0:00,9/11/2014 0:00,2 Day,CR-195251,SP-F-6129,2,39.98,11.994,4.7986
13070,2014-41161,9/9/2014 0:00,9/13/2014 0:00,Standard,EA-134501,SP-K-6098,2,31.98,12.792,3.2792
13073,2014-41162,9/10/2014 0:00,9/15/2014 0:00,Standard,SW-171251,FW-Y-3913,3,134.97,80.982,7.3988
13078,2014-41163,9/11/2014 0:00,9/16/2014 0:00,2 Day,EW-172151,FW-S-4623,6,107.94,53.97,9.5558
13085,2014-41164,9/12/2014 0:00,9/16/2014 0:00,Standard,WC-111251,FW-S-4840,6,95.94,47.97,5.8376
13086,2014-41164,9/12/2014 0:00,9/18/2014 0:00,Standard,EC-128501,SP-B-5295,3,26.97,6.7425,3.0788
13087,2014-41164,9/12/2014 0:00,9/16/2014 0:00,Standard,EA-140351,SP-K-2850,7,167.93,67.172,8.7172
13102,2014-41165,9/13/2014 0:00,9/17/2014 0:00,2 Day,EA-127751,SP-B-5295,5,44.95,11.2375,5.1465
13103,2014-41165,9/13/2014 0:00,9/17/2014 0:00,2 Day,EA-127751,FW-Y-2862,3,107.97,64.782,9.5579
13119,2014-41166,9/14/2014 0:00,9/19/2014 0:00,Standard,CA-103151,SP-F-3199,3,92.97,27.891,5.7188
13120,2014-41166,9/14/2014 0:00,9/19/2014 0:00,Standard,CA-103151,FW-Y-5174,2,17.98,10.788,2.7192
